dataset,seed,train_best_reward,heuristic_reward,best_selected_action_bandit_method,best_selected_action_bandit_reward,best_selected_action_bandit_delta,selective_policy_reward,selective_delta,constrained_utility,constrained_delta,oracle_reward,best_selected_action_bandit_win,selective_win,constrained_win,train_best_calls,best_selected_action_bandit_calls,selective_calls,constrained_calls
scifact,41,1.0351666666666668,1.0127222222222223,Epsilon-greedy retrieval policy,1.0542222222222222,0.0190555555555553,1.0978777777777775,0.0627111111111107,1.0477999999999998,0.059911111111111,1.182188888888889,True,True,True,2.0,1.5,1.1133333333333333,1.2866666666666666
scifact,42,1.0060555555555553,0.9967888888888888,Linear Thompson retrieval policy,1.0239111111111112,0.0178555555555559,1.014622222222222,0.0085666666666668,1.0089333333333332,-0.0137333333333333,1.1625222222222222,True,True,False,2.0,1.54,1.4866666666666666,1.2733333333333334
scifact,43,1.0688333333333333,1.0316,LinUCB retrieval policy,1.0807555555555557,0.0119222222222223,1.0614666666666666,-0.0073666666666667,1.0702222222222222,0.0313888888888891,1.2102666666666668,True,False,True,2.0,1.86,1.3066666666666666,1.3666666666666667
nfcorpus,41,0.3621372178114884,0.3780207840367336,LinUCB retrieval policy,0.3739071543103115,0.0117699364988231,0.3932255263037374,0.031088308492249,0.4025604921758786,0.0404232743643901,0.4518337034832597,True,True,True,1.0,1.54,1.1133333333333333,1.0
nfcorpus,42,0.3399570062764011,0.3711094534849019,Epsilon-greedy retrieval policy,0.3760245542070326,0.0360675479306315,0.3860046543203895,0.0460476480439884,0.3923314793260067,0.0523744730496056,0.4386540876409454,True,True,True,1.0,1.0,1.0,1.0
nfcorpus,43,0.4055011931404607,0.3848513194056975,LinUCB retrieval policy,0.3700807349414585,-0.0354204581990021,0.402812437603739,-0.0026887555367216,0.4063761880131527,0.0008749948726919,0.4638911157891019,False,False,True,1.0,1.42,1.0,1.0
