dataset,n_seeds,best_selected_action_bandit_win_rate,selective_win_rate,constrained_win_rate,best_selected_action_bandit_delta_mean,best_selected_action_bandit_delta_std,selective_delta_mean,selective_delta_std,selective_delta_min,constrained_delta_mean,constrained_delta_std,train_best_reward_mean,best_selected_action_bandit_reward_mean,selective_policy_reward_mean,constrained_utility_mean,train_best_calls_mean,best_selected_action_bandit_calls_mean,selective_calls_mean,constrained_calls_mean
scifact,3,1.0,0.6666666666666666,0.6666666666666666,0.0162777777777779,0.0038194434343432,0.0213037037037036,0.0367341505813054,-0.0073666666666667,0.0258555555555555,0.0371327265726077,1.036685185185185,1.052962962962963,1.0579888888888889,1.0423185185185184,2.0,1.6333333333333335,1.3022222222222222,1.308888888888889
nfcorpus,3,0.6666666666666666,0.6666666666666666,1.0,0.0041390087434841,0.0363497874670958,0.0248157336665052,0.0249663404347509,-0.0026887555367216,0.0312242474288959,0.0269539539871901,0.3691984724094501,0.3733374811529342,0.3940142060759553,0.4004227198383459,1.0,1.32,1.0377777777777777,1.0
