dataset,feature_set,policy_model,auto_candidate_models,retrieval_contrast_features,selected_policy_model,train_size,test_size,feature_width,validation_reward,selective_reward,best_fixed_reward,oracle_reward,selective_recall_at_5,best_fixed_recall_at_5,selective_retrieval_calls
nfcorpus,full,ridge,,True,ridge_l2=1.0,20,20,22,0.5407552289811594,0.49118996456909825,0.49118996456909825,0.6138138492528469,0.12243996456909838,0.12243996456909838,1.0
nfcorpus,full,auto,"knn,ridge,extra_trees,random_forest",True,ridge_l2=1.0,20,20,22,0.5407552289811594,0.49118996456909825,0.49118996456909825,0.6138138492528469,0.12243996456909838,0.12243996456909838,1.0
nfcorpus,no_contrast,ridge,,True,ridge_l2=1.0,20,20,22,0.5407552289811594,0.49118996456909825,0.49118996456909825,0.6138138492528469,0.12243996456909838,0.12243996456909838,1.0
nfcorpus,no_contrast,auto,"knn,ridge,extra_trees,random_forest",True,ridge_l2=1.0,20,20,22,0.5407552289811594,0.49118996456909825,0.49118996456909825,0.6138138492528469,0.12243996456909838,0.12243996456909838,1.0
nfcorpus,contrast_only,ridge,,True,ridge_l2=1.0,20,20,22,0.5407552289811594,0.49118996456909825,0.49118996456909825,0.6138138492528469,0.12243996456909838,0.12243996456909838,1.0
nfcorpus,contrast_only,auto,"knn,ridge,extra_trees,random_forest",True,ridge_l2=1.0,20,20,22,0.5407552289811594,0.49118996456909825,0.49118996456909825,0.6138138492528469,0.12243996456909838,0.12243996456909838,1.0
