dataset,feature_set,policy_model,auto_candidate_models,retrieval_contrast_features,semantic_depth,selected_policy_model,train_size,test_size,feature_width,validation_reward,best_fixed_validation_reward,validation_reward_gap_vs_best_fixed,selective_reward,best_fixed_reward,oracle_reward,selective_recall_at_5,best_fixed_recall_at_5,best_fixed_retrieval_calls,selective_retrieval_calls
nfcorpus,full,ridge,,False,5,ridge_l2=1.0,30,30,60,0.5884602668222115,0.6013595797812259,-0.012899312959,0.5395496926193533,0.5758830259526866,0.6185296640598512,0.1378274703971311,0.14616080373046444,1.0,1.1
nfcorpus,full,auto,"knn,ridge,extra_trees,random_forest",False,5,knn_k=3,30,30,60,0.6009404255523701,0.6013595797812259,-0.000419154229,0.5833082396279002,0.5758830259526866,0.6185296640598512,0.1535860174056781,0.14616080373046444,1.0,1.1666666666666667
nfcorpus,no_semantic,ridge,,False,5,ridge_l2=1.0,30,30,60,0.5568516432732893,0.6013595797812259,-0.044507936508,0.5753346514912686,0.5758830259526866,0.6185296640598512,0.1456124292690465,0.14616080373046444,1.0,1.0
nfcorpus,no_semantic,auto,"knn,ridge,extra_trees,random_forest",False,5,extra_trees,30,30,60,0.5981849766066227,0.6013595797812259,-0.003174603175,0.5767839268535874,0.5758830259526866,0.6185296640598512,0.1470617046313653,0.14616080373046444,1.0,1.0
