dataset,comparison,metric,n_queries,mean_policy,mean_baseline,mean_delta,ci_lower,ci_upper,prob_delta_gt_0,n_bootstrap,seed
scifact,Selective retrieval policy - Train-best retrieval action,reward,300,1.0904888888888888,1.0567777777777776,0.03371111111111113,0.008852361111111137,0.05834083333333332,0.997,5000,42
scifact,Selective retrieval policy - Train-best retrieval action,recall_at_5,300,0.7736666666666667,0.7626111111111111,0.011055555555555556,-0.008333333333333333,0.030888888888888893,0.8604,5000,42
scifact,Selective retrieval policy - Train-best retrieval action,mrr,300,0.6584444444444444,0.6483333333333333,0.01011111111111111,-0.0077222222222222215,0.026666666666666665,0.8724,5000,42
scifact,Selective retrieval policy - Train-best retrieval action,ndcg_at_5,300,0.6806953438152176,0.6733601718339602,0.007335171981257344,-0.008463854444144612,0.022220369084226428,0.82,5000,42
