dataset,policy,step,chosen_action,oracle_action,reward,oracle_reward,regret,cumulative_reward,cumulative_oracle_reward,cumulative_regret,moving_average_reward,oracle_match_rate,action_entropy
nfcorpus,Full-information direct method,0,bm25_keyword,bm25_keep,0.5425531914893617,0.5425531914893617,0.0,0.5425531914893617,0.5425531914893617,0.0,0.5425531914893617,0.0,-0.0
nfcorpus,Full-information direct method,1,dense_keep,bm25_keyword,0.0,0.5,0.5,0.5425531914893617,1.0425531914893615,0.5,0.2712765957446808,0.0,1.0
nfcorpus,Full-information direct method,2,bm25_keep,bm25_keyword,0.5555555555555556,0.6111111111111112,0.05555555555555558,1.0981087470449173,1.6536643026004727,0.5555555555555556,0.36603624901497245,0.0,1.584962500721156
nfcorpus,Full-information direct method,3,bm25_keyword,bm25_keep,0.0,0.0,0.0,1.0981087470449173,1.6536643026004727,0.5555555555555556,0.27452718676122934,0.0,1.5
nfcorpus,Full-information direct method,4,bm25_keyword,bm25_keep,0.2763157894736842,0.2763157894736842,0.0,1.3744245365186014,1.9299800920741568,0.5555555555555556,0.2748849073037203,0.0,1.3709505944546687
nfcorpus,Full-information direct method,5,dense_keyword,bm25_keep,0.0,0.0,0.0,1.3744245365186014,1.9299800920741568,0.5555555555555556,0.22907075608643357,0.0,1.7924812503605778
nfcorpus,Full-information direct method,6,dense_keyword,bm25_keep,0.0,0.0,0.0,1.3744245365186014,1.9299800920741568,0.5555555555555556,0.19634636235980021,0.0,1.8423709931771088
nfcorpus,Full-information direct method,7,bm25_keyword,bm25_keep,0.537037037037037,0.537037037037037,0.0,1.9114615735556384,2.467017129111194,0.5555555555555556,0.2389326966944548,0.0,1.75
nfcorpus,Full-information direct method,8,bm25_keep,bm25_keep,0.8333333333333333,0.8333333333333333,0.0,2.7447949068889717,3.300350462444527,0.5555555555555556,0.3049772118765524,0.1111111111111111,1.836591668108979
nfcorpus,Full-information direct method,9,bm25_keyword,bm25_keep,0.5697674418604651,0.5930232558139534,0.023255813953488302,3.314562348749437,3.8933737182584807,0.5788113695090439,0.3314562348749437,0.1,1.7609640474436812
nfcorpus,Full-information direct method,10,dense_keep,bm25_keep,0.1923076923076923,0.5256410256410257,0.33333333333333337,3.5068700410571294,4.419014743899506,0.9121447028423773,0.3188063673688299,0.09090909090909091,1.8585552118703144
nfcorpus,Full-information direct method,11,dense_keep,bm25_keep,0.0,0.0,0.0,3.5068700410571294,4.419014743899506,0.9121447028423773,0.2922391700880941,0.08333333333333333,1.8879185026711327
nfcorpus,Full-information direct method,12,bm25_keyword,bm25_keep,1.5,1.5,0.0,5.006870041057129,5.919014743899506,0.9121447028423773,0.3851438493120868,0.07692307692307693,1.8339272176418302
nfcorpus,Full-information direct method,13,dense_keyword,bm25_keep,0.6428571428571428,0.6428571428571428,0.0,5.649727183914273,6.561871886756649,0.9121447028423773,0.4035519417081623,0.07142857142857142,1.877387064296613
nfcorpus,Full-information direct method,14,dense_keyword,bm25_keep,0.3,0.45,0.15000000000000002,5.9497271839142725,7.011871886756649,1.0621447028423772,0.3966484789276181,0.06666666666666667,1.8892464285091581
nfcorpus,Full-information direct method,15,bm25_keyword,dense_keep,0.3055555555555556,0.5555555555555556,0.25,6.255282739469828,7.567427442312204,1.3121447028423772,0.3909551712168642,0.0625,1.8496017527145812
nfcorpus,Full-information direct method,16,dense_keep,bm25_keyword,0.0,0.2435897435897435,0.2435897435897435,6.255282739469828,7.811017185901948,1.5557344464321208,0.36795780820410745,0.058823529411764705,1.8726696380501493
nfcorpus,Full-information direct method,17,dense_keep,bm25_keep,0.0,0.0,0.0,6.255282739469828,7.811017185901948,1.5557344464321208,0.34751570774832374,0.05555555555555555,1.8776402831734211
nfcorpus,Full-information direct method,18,bm25_keep,bm25_keep,0.7857142857142857,0.7857142857142857,0.0,7.040997025184113,8.596731471616234,1.5557344464321208,0.37057879079916384,0.10526315789473684,1.9312952802328747
nfcorpus,Full-information direct method,19,dense_keep,bm25_keep,0.0,0.0,0.0,7.040997025184113,8.596731471616234,1.5557344464321208,0.3520498512592057,0.1,1.9261207468426804
nfcorpus,Full-information direct method,20,dense_keyword,dense_keep,0.25,0.25,0.0,7.290997025184113,8.846731471616234,1.5557344464321208,0.3471903345325768,0.09523809523809523,1.938708497286834
nfcorpus,Full-information direct method,21,dense_keyword,bm25_keep,0.5609756097560976,0.5609756097560976,0.0,7.851972634940211,9.407707081372331,1.5557344464321208,0.35690784704273687,0.09090909090909091,1.9400715293090895
