source_dataset,target_dataset,method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
scifact,scifact,Vanilla BM25,0.7267777777777779,0.6125555555555555,0.6352417227117545,1.0330555555555556,0.0,1.0
scifact,scifact,BM25 keyword,0.7276111111111112,0.6283888888888889,0.6460567742175334,1.0418055555555554,0.0,1.0
scifact,scifact,Dense original,0.7412777777777777,0.6014999999999999,0.6320639253373351,1.0420277777777778,0.0,1.0
scifact,scifact,Dense keyword,0.7245,0.6015555555555555,0.6293971609149004,1.025277777777778,0.0,1.0
scifact,scifact,Hybrid original,0.7624444444444444,0.6466666666666666,0.670894606783379,1.0557777777777777,0.03,2.0
scifact,scifact,Hybrid keyword,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.03,2.0
scifact,scifact,Target train-best action,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.03,2.0
scifact,scifact,Heuristic retrieval router,0.7334444444444445,0.6324444444444444,0.6511935359277055,1.0480666666666665,0.0015999999999999,1.0533333333333332
scifact,scifact,Transferred source policy,0.7758888888888889,0.663,0.6879597847560018,1.093088888888889,0.0143,1.4766666666666666
scifact,scifact,Oracle retrieval action,0.8385,0.7358888888888888,0.7576938176937511,1.2062444444444445,0.0001999999999999,1.0066666666666666
scifact,nfcorpus,Vanilla BM25,0.118347259392627,0.5094444444444444,0.3442169757732495,0.3730694816148493,0.0,1.0
scifact,nfcorpus,BM25 keyword,0.1240318629930906,0.522888888888889,0.3538112618707896,0.3854763074375351,0.0,1.0
scifact,nfcorpus,Dense original,0.1222083372657028,0.509888888888889,0.3579017941230752,0.3771527817101472,0.0,1.0
scifact,nfcorpus,Dense keyword,0.1188825639247796,0.4971666666666667,0.3499771588017766,0.367465897258113,0.0,1.0
scifact,nfcorpus,Hybrid original,0.1305490309743956,0.5304444444444444,0.3636016502800924,0.3657712531966178,0.03,2.0
scifact,nfcorpus,Hybrid keyword,0.1330621154234514,0.5361666666666667,0.3682216734330124,0.3711454487567848,0.03,2.0
scifact,nfcorpus,Target train-best action,0.1222083372657028,0.509888888888889,0.3579017941230752,0.3771527817101472,0.0,1.0
scifact,nfcorpus,Heuristic retrieval router,0.1291474632582133,0.5209444444444445,0.3523137247615185,0.3896196854804356,0.0,1.0
scifact,nfcorpus,Transferred source policy,0.1368601420959505,0.5348333333333333,0.3632099583414239,0.3863768087626172,0.0179,1.596666666666667
scifact,nfcorpus,Oracle retrieval action,0.156657328530093,0.6161666666666668,0.4386963459059314,0.4641406618634263,0.0006,1.02
nfcorpus,nfcorpus,Vanilla BM25,0.118347259392627,0.5094444444444444,0.3442169757732495,0.3730694816148493,0.0,1.0
nfcorpus,nfcorpus,BM25 keyword,0.1240318629930906,0.522888888888889,0.3538112618707896,0.3854763074375351,0.0,1.0
nfcorpus,nfcorpus,Dense original,0.1222083372657028,0.509888888888889,0.3579017941230752,0.3771527817101472,0.0,1.0
nfcorpus,nfcorpus,Dense keyword,0.1188825639247796,0.4971666666666667,0.3499771588017766,0.367465897258113,0.0,1.0
nfcorpus,nfcorpus,Hybrid original,0.1305490309743956,0.5304444444444444,0.3636016502800924,0.3657712531966178,0.03,2.0
nfcorpus,nfcorpus,Hybrid keyword,0.1330621154234514,0.5361666666666667,0.3682216734330124,0.3711454487567848,0.03,2.0
nfcorpus,nfcorpus,Target train-best action,0.1222083372657028,0.509888888888889,0.3579017941230752,0.3771527817101472,0.0,1.0
nfcorpus,nfcorpus,Heuristic retrieval router,0.1291474632582133,0.5209444444444445,0.3523137247615185,0.3896196854804356,0.0,1.0
nfcorpus,nfcorpus,Transferred source policy,0.1356779292095004,0.5428333333333333,0.3722254638103688,0.4070945958761671,0.0,1.0
nfcorpus,nfcorpus,Oracle retrieval action,0.156657328530093,0.6161666666666668,0.4386963459059314,0.4641406618634263,0.0006,1.02
nfcorpus,scifact,Vanilla BM25,0.7267777777777779,0.6125555555555555,0.6352417227117545,1.0330555555555556,0.0,1.0
nfcorpus,scifact,BM25 keyword,0.7276111111111112,0.6283888888888889,0.6460567742175334,1.0418055555555554,0.0,1.0
nfcorpus,scifact,Dense original,0.7412777777777777,0.6014999999999999,0.6320639253373351,1.0420277777777778,0.0,1.0
nfcorpus,scifact,Dense keyword,0.7245,0.6015555555555555,0.6293971609149004,1.025277777777778,0.0,1.0
nfcorpus,scifact,Hybrid original,0.7624444444444444,0.6466666666666666,0.670894606783379,1.0557777777777777,0.03,2.0
nfcorpus,scifact,Hybrid keyword,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.03,2.0
nfcorpus,scifact,Target train-best action,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.03,2.0
nfcorpus,scifact,Heuristic retrieval router,0.7334444444444445,0.6324444444444444,0.6511935359277055,1.0480666666666665,0.0015999999999999,1.0533333333333332
nfcorpus,scifact,Transferred source policy,0.7479444444444444,0.6329444444444444,0.6576711128586074,1.0644166666666668,0.0,1.0
nfcorpus,scifact,Oracle retrieval action,0.8385,0.7358888888888888,0.7576938176937511,1.2062444444444445,0.0001999999999999,1.0066666666666666
