method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
LinUCB retrieval policy,0.12896235207955903,0.5381666666666667,0.3628728002989078,0.38804568541289236,0.01,1.3333333333333333
Epsilon-greedy retrieval policy,0.12821537661318858,0.522888888888889,0.3577754146630637,0.38835982105763295,0.0013,1.0433333333333332
Linear Thompson retrieval policy,0.13581981139222005,0.544611111111111,0.37765847831233734,0.40402536694777563,0.0041,1.1366666666666667
Train-best retrieval action,0.12220833726570283,0.509888888888889,0.3579017941230752,0.37715278171014727,0.0,1.0
Oracle retrieval action,0.15665732853009304,0.6161666666666668,0.4386963459059314,0.4641406618634263,0.0006,1.02
