dataset,call_penalty,n_queries,bootstrap_samples,policy_utility_mean,train_best_utility_mean,utility_delta_mean,utility_delta_ci_low,utility_delta_ci_high,policy_calls_mean,train_best_calls_mean,call_delta_mean,call_delta_ci_low,call_delta_ci_high
nfcorpus,0.0,300,1000,0.4098092383244063,0.3771527817101472,0.032656456614259005,0.010789168338379,0.05639214381238897,1.0,1.0,0.0,0.0,0.0
nfcorpus,0.01,300,1000,0.4098092383244063,0.3771527817101472,0.032656456614259005,0.009339807751032884,0.059302765657556614,1.0,1.0,0.0,0.0,0.0
nfcorpus,0.03,300,1000,0.4098092383244063,0.3771527817101472,0.032656456614259005,0.010587221415579145,0.058431299935039586,1.0,1.0,0.0,0.0,0.0
nfcorpus,0.06,300,1000,0.4098092383244063,0.3771527817101472,0.032656456614259005,0.009613130114390663,0.058054278608933994,1.0,1.0,0.0,0.0,0.0
nfcorpus,0.1,300,1000,0.4098092383244063,0.3771527817101472,0.032656456614259005,0.011388847106422567,0.05784826564803025,1.0,1.0,0.0,0.0,0.0
nfcorpus,0.2,300,1000,0.4098092383244063,0.3771527817101472,0.032656456614259005,0.00884288052817181,0.05827280431299662,1.0,1.0,0.0,0.0,0.0
