step,chosen_action,reward,oracle_reward,regret
0,bm25_keep,0.5425531914893617,0.5425531914893617,0.0
1,bm25_keyword,0.5,0.5,0.0
2,dense_keep,0.5555555555555556,0.6111111111111112,0.05555555555555558
3,dense_keyword,0.0,0.0,0.0
4,hybrid_keep,0.16298245614035087,0.2763157894736842,0.11333333333333331
5,dense_keep,0.0,0.0,0.0
6,hybrid_keyword,-0.03,0.0,0.03
7,bm25_keyword,0.537037037037037,0.537037037037037,0.0
8,bm25_keep,0.8333333333333333,0.8333333333333333,0.0
9,bm25_keep,0.5930232558139534,0.5930232558139534,0.0
10,bm25_keep,0.5256410256410257,0.5256410256410257,0.0
11,bm25_keyword,0.0,0.0,0.0
12,hybrid_keyword,1.47,1.5,0.030000000000000027
13,bm25_keep,0.6428571428571428,0.6428571428571428,0.0
14,hybrid_keep,0.37,0.45,0.08000000000000002
15,hybrid_keyword,0.49777777777777776,0.5555555555555556,0.05777777777777782
16,bm25_keep,0.0,0.24358974358974358,0.24358974358974358
17,hybrid_keep,-0.03,0.0,0.03
18,hybrid_keyword,0.7557142857142857,0.7857142857142857,0.030000000000000027
19,hybrid_keyword,-0.03,0.0,0.03
20,dense_keyword,0.25,0.25,0.0
21,bm25_keyword,0.5609756097560976,0.5609756097560976,0.0
22,hybrid_keyword,-0.03,0.0,0.03
23,bm25_keyword,0.575,0.625,0.050000000000000044
24,bm25_keep,0.0,0.0,0.0
25,dense_keep,1.0,1.25,0.25
26,bm25_keyword,0.21428571428571427,0.5476190476190477,0.33333333333333337
27,bm25_keep,0.625,0.625,0.0
28,dense_keep,0.3088235294117647,0.5784313725490196,0.26960784313725483
29,bm25_keyword,0.5816326530612245,0.5816326530612245,0.0
30,dense_keep,0.23809523809523808,0.23809523809523808,0.0
31,bm25_keep,0.0,0.0,0.0
32,dense_keep,0.0,0.0,0.0
33,bm25_keyword,0.5491803278688525,0.5655737704918032,0.016393442622950727
34,bm25_keyword,0.524390243902439,0.524390243902439,0.0
35,dense_keyword,0.17763157894736842,0.17763157894736842,0.0
36,bm25_keyword,0.34090909090909094,0.5909090909090909,0.25
37,bm25_keep,0.0,0.0,0.0
38,hybrid_keyword,0.5288235294117647,0.5784313725490196,0.04960784313725486
39,dense_keyword,0.5909090909090909,0.6136363636363636,0.022727272727272707
40,bm25_keyword,0.0,0.0,0.0
41,dense_keyword,0.5253164556962026,0.5379746835443038,0.012658227848101222
42,hybrid_keep,0.5183870967741935,0.564516129032258,0.04612903225806453
43,dense_keyword,0.6025641025641025,0.6282051282051282,0.02564102564102566
44,dense_keyword,0.2591743119266055,0.5091743119266054,0.24999999999999994
45,hybrid_keep,-0.03,0.26639344262295084,0.29639344262295086
46,bm25_keyword,0.0,0.0,0.0
47,dense_keyword,0.0,1.1,1.1
48,hybrid_keyword,0.97,1.0,0.030000000000000027
49,hybrid_keyword,-0.03,0.0,0.03
50,dense_keep,0.0,0.0,0.0
51,hybrid_keyword,1.22,1.5,0.28
52,hybrid_keyword,0.5533333333333333,0.5833333333333334,0.030000000000000027
53,hybrid_keyword,-0.03,0.0,0.03
54,dense_keyword,0.0,0.0,0.0
55,hybrid_keep,0.5057142857142857,0.5714285714285714,0.06571428571428573
56,hybrid_keep,0.5609090909090909,0.6212121212121212,0.0603030303030303
57,hybrid_keyword,-0.03,0.0,0.03
58,hybrid_keep,-0.03,0.0,0.03
59,dense_keep,0.5615384615384615,0.5615384615384615,0.0
60,dense_keep,0.7,0.7,0.0
61,hybrid_keep,0.5609090909090909,0.5909090909090909,0.030000000000000027
62,dense_keep,0.0,0.0,0.0
63,bm25_keep,1.1666666666666667,1.1666666666666667,0.0
64,bm25_keep,0.0,0.0,0.0
65,bm25_keep,0.0,0.0,0.0
