method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Vanilla BM25,0.8,0.8720833333333333,0.7527650243479918,1.2360416666666665,0.0,1.0
Rewrite-all keyword,0.8325,0.8796250000000001,0.7803226331708097,1.2723125,0.0,1.0
Rewrite-all entity expansion,0.81,0.881625,0.7669416667771551,1.2021125000000001,0.0487,1.0
Train-best fixed rewrite,0.8325,0.8796250000000001,0.7803226331708097,1.2723125,0.0,1.0
Selective bandit,0.8125,0.8800416666666666,0.7659337459259611,1.2441708333333332,0.008350000000000002,1.035
Oracle best action,0.88375,0.9232916666666666,0.8212265319250684,1.3384458333333333,0.0069500000000000004,1.045
