dataset,budget,selected_method,reward,recall_at_5,mrr,retrieval_calls,rewrite_cost,feasible_methods,dominated_methods_count
scifact,1.0,Dense original,1.0420277777777778,0.7412777777777777,0.6014999999999999,1.0,0.0,4,6
scifact,1.25,Heuristic retrieval router,1.0480666666666665,0.7334444444444445,0.6324444444444444,1.0533333333333332,0.0015999999999999,5,6
scifact,1.5,Selective retrieval policy,1.090488888888889,0.7736666666666666,0.6584444444444445,1.413333333333333,0.0124,7,6
scifact,2.0,Selective retrieval policy,1.090488888888889,0.7736666666666666,0.6584444444444445,1.413333333333333,0.0124,10,6
