dataset,feature_set,policy_model,auto_candidate_models,retrieval_contrast_features,semantic_depth,selected_policy_model,train_size,test_size,feature_width,validation_reward,best_fixed_validation_reward,validation_reward_gap_vs_best_fixed,selective_reward,best_fixed_reward,oracle_reward,selective_recall_at_5,best_fixed_recall_at_5,best_fixed_retrieval_calls,selective_retrieval_calls
nfcorpus,full,ridge,,False,5,ridge_l2=1.0,50,50,60,0.3761953449058324,0.3794989861549778,-0.003303641249,0.3862403507459049,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.0,1.1
nfcorpus,full,mlp,,False,5,mlp,50,50,60,0.3574538057938934,0.3794989861549778,-0.022045180361,0.4081030234453609,0.40697865836403396,0.48795180032505653,0.14750302344536087,0.1483119916973674,1.0,1.38
nfcorpus,full,auto,"knn,ridge,extra_trees,random_forest,mlp",False,5,knn_k=1,50,50,60,0.3942096885280753,0.3794989861549778,0.014710702373,0.39365672826243525,0.40697865836403396,0.48795180032505653,0.14249006159576852,0.1483119916973674,1.0,1.0
nfcorpus,no_rank_agreement,ridge,,False,5,ridge_l2=1.0,50,50,60,0.39159384846993744,0.3794989861549778,0.012094862315,0.4217708152267791,0.40697865836403396,0.48795180032505653,0.15203748189344585,0.1483119916973674,1.0,1.02
nfcorpus,no_rank_agreement,mlp,,False,5,mlp,50,50,60,0.3681124723169112,0.3794989861549778,-0.011386513838,0.41274029468355894,0.40697865836403396,0.48795180032505653,0.146540294683559,0.1483119916973674,1.0,1.26
nfcorpus,no_rank_agreement,auto,"knn,ridge,extra_trees,random_forest,mlp",False,5,knn_k=1,50,50,60,0.3920545641832554,0.3794989861549778,0.012555578028,0.40021172700765134,0.40697865836403396,0.48795180032505653,0.15154506034098464,0.1483119916973674,1.0,1.0
nfcorpus,no_profile,ridge,,False,5,ridge_l2=1.0,50,50,60,0.3767953449058324,0.3794989861549778,-0.002703641249,0.39350701741257155,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.0,1.08
nfcorpus,no_profile,mlp,,False,5,mlp,50,50,60,0.3683842499938283,0.3794989861549778,-0.011114736161,0.3888513530066499,0.40697865836403396,0.48795180032505653,0.14481801967331662,0.1483119916973674,1.0,1.36
nfcorpus,no_profile,auto,"knn,ridge,extra_trees,random_forest,mlp",False,5,knn_k=3,50,50,60,0.3994379626890517,0.3794989861549778,0.019938976534,0.39905940626960357,0.40697865836403396,0.48795180032505653,0.1425594062696036,0.1483119916973674,1.0,1.1
nfcorpus,no_semantic,ridge,,False,5,ridge_l2=1.0,50,50,60,0.3945938484699375,0.3794989861549778,0.015094862315,0.42903748189344576,0.40697865836403396,0.48795180032505653,0.15203748189344585,0.1483119916973674,1.0,1.0
nfcorpus,no_semantic,mlp,,False,5,mlp,50,50,60,0.35427581514622214,0.3794989861549778,-0.025223171009,0.3816777283923382,0.40697865836403396,0.48795180032505653,0.14081106172567157,0.1483119916973674,1.0,1.16
nfcorpus,no_semantic,auto,"knn,ridge,extra_trees,random_forest,mlp",False,5,knn_k=9,50,50,60,0.39984705359814254,0.3794989861549778,0.020348067443,0.41318739925681874,0.40697865836403396,0.48795180032505653,0.14252073259015213,0.1483119916973674,1.0,1.0
nfcorpus,profile_only,ridge,,False,5,ridge_l2=1.0,50,50,60,0.3758878750438667,0.3794989861549778,-0.003611111111,0.40697865836403396,0.40697865836403396,0.48795180032505653,0.1483119916973674,0.1483119916973674,1.0,1.0
nfcorpus,profile_only,mlp,,False,5,mlp,50,50,60,0.36672770063292953,0.3794989861549778,-0.012771285522,0.4391764792197229,0.40697865836403396,0.48795180032505653,0.15994314588638958,0.1483119916973674,1.0,1.02
nfcorpus,profile_only,auto,"knn,ridge,extra_trees,random_forest,mlp",False,5,knn_k=11,50,50,60,0.3894238907639972,0.3794989861549778,0.009924904609,0.39380051837026675,0.40697865836403396,0.48795180032505653,0.13883385170360016,0.1483119916973674,1.0,1.04
