dataset,policy,steps,mean_reward,mean_oracle_reward,mean_regret,final_cumulative_reward,final_cumulative_oracle_reward,final_cumulative_regret,oracle_match_rate,action_entropy,unique_actions
nfcorpus,Full-information direct method,600,0.37432797482283975,0.42368984293879547,0.04936186811595576,224.5967848937039,254.21390576327744,29.617120869573462,0.285,1.770134388846798,4
nfcorpus,LinUCB selected-action replay,600,0.35168720892197475,0.42368984293879547,0.0720026340168207,211.01232535318488,254.21390576327744,43.201580410092575,0.16166666666666665,2.4841094294814536,6
nfcorpus,Epsilon-greedy selected-action replay,600,0.3420869060802748,0.42368984293879547,0.08160293685852063,205.25214364816492,254.21390576327744,48.961762115112414,0.245,0.9323405427532635,6
nfcorpus,Linear Thompson selected-action replay,600,0.3450361996034883,0.42368984293879547,0.07865364333530722,207.02171976209277,254.21390576327744,47.19218600118441,0.185,2.570101362519515,6
nfcorpus,Train-best fixed action,600,0.34670404361948,0.42368984293879547,0.07698579931931547,208.022426171688,254.21390576327744,46.19147959158931,0.25166666666666665,-0.0,1
nfcorpus,Oracle action,600,0.42368984293879547,0.42368984293879547,0.0,254.21390576327744,254.21390576327744,0.0,1.0,1.2573621256659653,5
