method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Vanilla BM25,0.8041666666666667,0.8505555555555555,0.7416679473557563,1.2294444444444446,0.0,1.0
BM25 keyword,0.8291666666666667,0.8958333333333334,0.7799685496478992,1.2770833333333333,0.0,1.0
Dense original,0.8333333333333334,0.8394444444444444,0.7580712628009916,1.2530555555555556,0.0,1.0
Dense keyword,0.8125,0.8491666666666667,0.7467986045511665,1.2370833333333333,0.0,1.0
Hybrid original,0.8625,0.87,0.7900299449683749,1.2675000000000003,0.030000000000000013,2.0
Hybrid keyword,0.8875,0.8870833333333332,0.8134680380391506,1.3010416666666667,0.030000000000000013,2.0
Train-best retrieval action,0.8875,0.8870833333333332,0.8134680380391506,1.3010416666666667,0.030000000000000013,2.0
Selective retrieval policy,0.8791666666666667,0.8961111111111111,0.8128632747773726,1.3199722222222223,0.00725,1.2416666666666667
Oracle retrieval action,0.95,0.9423611111111112,0.8675541184046788,1.4201805555555558,0.001,1.0333333333333334
