method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Vanilla BM25,0.955,0.9032499999999999,0.9162205153541619,1.4066250000000002,0.0,1.0
Rewrite-all keyword,0.97,0.9364166666666667,0.9448608906658262,1.4382083333333333,0.0,1.0
Rewrite-all entity expansion,0.97,0.9364166666666667,0.9448608906658262,1.4382083333333333,0.0,1.0
Train-best fixed rewrite,0.97,0.9364166666666667,0.9448608906658262,1.4382083333333333,0.0,1.0
Selective bandit,0.97,0.9330833333333334,0.9423608906658261,1.4365416666666666,0.0,1.0
Oracle best action,0.97,0.9404166666666666,0.9479266266296534,1.4402083333333335,0.0,1.0
