dataset,feature_set,policy_model,baseline_semantic_depth,n_runs,n_unique_validation_best_depths,validation_best_depth_modal,validation_best_depth_modal_count,validation_best_depth_modal_share,n_unique_heldout_best_depths,heldout_best_depth_modal,heldout_best_depth_modal_count,heldout_best_depth_modal_share,validation_matches_heldout_depth_rate,validation_matches_heldout_depth_rate_ci_low,validation_matches_heldout_depth_rate_ci_high,validation_selected_heldout_delta_mean,heldout_best_delta_mean,depth_selection_reward_gap_mean,depth_selection_reward_gap_std
nfcorpus_repeated_semantic_depth,full,auto,5,3,2,8,2,0.6666666666666666,2,5,2,0.6666666666666666,0.0,0.0,0.561506080449,-0.010217875355,0.004267600934333334,0.014485476289333332,0.006686859381227414
nfcorpus_repeated_semantic_depth,full,ridge,5,3,2,5,2,0.6666666666666666,2,8,2,0.6666666666666666,0.0,0.0,0.561506080449,-0.003773718924333333,0.005494371564666666,0.009268090489,0.003997188260494605
nfcorpus_repeated_semantic_depth,no_semantic,auto,5,3,2,8,2,0.6666666666666666,1,5,3,1.0,0.3333333333333333,0.061490315276,0.792345044874,-0.0003003003003333333,0.0,0.0003003003003333333,0.0004246887575161137
nfcorpus_repeated_semantic_depth,no_semantic,ridge,5,3,1,5,3,1.0,1,5,3,1.0,1.0,0.438493919551,1.0,0.0,0.0,0.0,0.0
