method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Vanilla BM25,0.14068976947514517,0.49433333333333335,0.32956723838057606,0.38785643614181176,0.0,1.0
BM25 keyword,0.1483119916973674,0.5173333333333333,0.3435975782983875,0.40697865836403396,0.0,1.0
Dense original,0.12817628524228072,0.5433333333333333,0.3510474598010289,0.3998429519089474,0.0,1.0
Dense keyword,0.12095406302005848,0.5246666666666667,0.3403998542021594,0.3832873963533919,0.0,1.0
Hybrid original,0.15208955093617624,0.5269999999999999,0.35275061507661737,0.38558955093617625,0.03,2.0
Hybrid keyword,0.1512965684800359,0.534,0.3528103525517415,0.38829656848003585,0.03,2.0
Train-best retrieval action,0.1483119916973674,0.5173333333333333,0.3435975782983875,0.40697865836403396,0.0,1.0
Selective retrieval policy,0.14840701741257153,0.48166666666666663,0.33829335523021664,0.3862403507459049,0.003,1.1
Oracle retrieval action,0.16905180032505654,0.639,0.4320410491774369,0.48795180032505653,0.0006,1.02
