dataset,reader,retriever,seed,k,num_examples,exact_match,f1,recall_at_5,mrr,ndcg_at_5,claim_scope
hotpot,lexical,bm25,42,5,200,0.0,0.0501950350969207,0.82,0.9,0.7854106993261993,smoke_downstream_reader_check
hotpot,span,bm25,42,5,200,0.035,0.0846910784527388,0.82,0.9,0.7854106993261993,smoke_downstream_reader_check
hotpot,answer_type,bm25,42,5,200,0.035,0.0846910784527388,0.82,0.9,0.7854106993261993,smoke_downstream_reader_check
