dataset,group,target,start,end,width,active_columns,alpha,train_rows,test_rows,train_r2,test_r2,test_corr,target_train_std,target_test_std
nfcorpus,bias,oracle_reward,0,1,1,1,1.0,20,20,0.0,-0.02517577906949997,0.0,0.3420864854739541,0.3387146013087456
nfcorpus,bias,oracle_margin,0,1,1,1,1.0,20,20,0.0,-0.013109801458017545,0.0,0.05444772128466102,0.07532339741088188
nfcorpus,bias,dense_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.005132463185430369,0.0,0.29721362720225125,0.3070838262984899
nfcorpus,bias,hybrid_advantage_vs_bm25,0,1,1,1,1.0,20,20,0.0,-0.018868282536794068,0.0,0.15722590298006997,0.25459920542145903
nfcorpus,query_form,oracle_reward,1,3,2,2,1.0,20,20,0.06298650878592615,-0.04290696628749702,0.009716252312708675,0.3420864854739541,0.3387146013087456
nfcorpus,query_form,oracle_margin,1,3,2,2,1.0,20,20,0.07716343773903289,-0.006730834623307924,0.06759415684826589,0.05444772128466102,0.07532339741088188
nfcorpus,query_form,dense_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.11287043919979134,0.03368176444761739,0.21564868833152864,0.29721362720225125,0.3070838262984899
nfcorpus,query_form,hybrid_advantage_vs_bm25,1,3,2,2,1.0,20,20,0.1343215778918937,0.010570045569074482,0.21122353727643436,0.15722590298006997,0.25459920542145903
nfcorpus,retrieval_confidence,oracle_reward,3,6,3,3,1.0,20,20,0.10917851767336806,0.017793337233592776,0.15659540347101897,0.3420864854739541,0.3387146013087456
nfcorpus,retrieval_confidence,oracle_margin,3,6,3,3,1.0,20,20,0.029816641458256465,0.007834291372649238,0.3290146293631933,0.05444772128466102,0.07532339741088188
nfcorpus,retrieval_confidence,dense_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.2030903222102134,0.12267084381435789,0.37626031601978066,0.29721362720225125,0.3070838262984899
nfcorpus,retrieval_confidence,hybrid_advantage_vs_bm25,3,6,3,3,1.0,20,20,0.08523603491454335,0.05961008462574502,0.44468303561799605,0.15722590298006997,0.25459920542145903
nfcorpus,wh_word,oracle_reward,6,14,8,5,1.0,20,20,0.04199352658820277,0.03322887497747684,0.3766226609827379,0.3420864854739541,0.3387146013087456
nfcorpus,wh_word,oracle_margin,6,14,8,5,1.0,20,20,0.7930694787138243,0.19616185625113658,0.9102670568480621,0.05444772128466102,0.07532339741088188
nfcorpus,wh_word,dense_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.10540739570962354,-0.08191054278752263,-0.1553599379780171,0.29721362720225125,0.3070838262984899
nfcorpus,wh_word,hybrid_advantage_vs_bm25,6,14,8,5,1.0,20,20,0.20833786453835057,-0.032387125613277945,-0.027496067393057513,0.15722590298006997,0.25459920542145903
nfcorpus,semantic_summary,oracle_reward,14,23,9,9,1.0,20,20,0.02652600034215835,-0.022253253825612163,0.10118348683572546,0.3420864854739541,0.3387146013087456
nfcorpus,semantic_summary,oracle_margin,14,23,9,9,1.0,20,20,0.02168736184561426,-0.01738488026553231,0.01397748349727938,0.05444772128466102,0.07532339741088188
nfcorpus,semantic_summary,dense_advantage_vs_bm25,14,23,9,9,1.0,20,20,0.07154039512574106,0.04606983741573045,0.416003607425081,0.29721362720225125,0.3070838262984899
nfcorpus,semantic_summary,hybrid_advantage_vs_bm25,14,23,9,9,1.0,20,20,0.0341636794347947,0.0013389178486931108,0.3751241653645742,0.15722590298006997,0.25459920542145903
nfcorpus,semantic_rank_profile,oracle_reward,23,38,15,15,1.0,20,20,0.0363782202409888,-0.02759968620396891,-0.0027077204530531664,0.3420864854739541,0.3387146013087456
nfcorpus,semantic_rank_profile,oracle_margin,23,38,15,15,1.0,20,20,0.06693708586785241,-0.008296045876130753,0.09346527015815471,0.05444772128466102,0.07532339741088188
nfcorpus,semantic_rank_profile,dense_advantage_vs_bm25,23,38,15,15,1.0,20,20,0.06676958332708838,0.06178063838666259,0.4665143957620831,0.29721362720225125,0.3070838262984899
nfcorpus,semantic_rank_profile,hybrid_advantage_vs_bm25,23,38,15,15,1.0,20,20,0.07669468160388304,0.0069744158205504725,0.38924311930552913,0.15722590298006997,0.25459920542145903
nfcorpus,semantic_rank_agreement,oracle_reward,38,44,6,6,1.0,20,20,0.18746334427176037,-0.15699932646982195,-0.021601096937478793,0.3420864854739541,0.3387146013087456
nfcorpus,semantic_rank_agreement,oracle_margin,38,44,6,6,1.0,20,20,0.10857491171638356,0.019797143563704322,0.15604445689333626,0.05444772128466102,0.07532339741088188
nfcorpus,semantic_rank_agreement,dense_advantage_vs_bm25,38,44,6,6,1.0,20,20,0.39660777907077216,0.027839548180640716,0.2320485096701369,0.29721362720225125,0.3070838262984899
nfcorpus,semantic_rank_agreement,hybrid_advantage_vs_bm25,38,44,6,6,1.0,20,20,0.2670791965664643,0.034287727563931725,0.26773674565955335,0.15722590298006997,0.25459920542145903
nfcorpus,embedding_projection,oracle_reward,44,56,12,12,1.0,20,20,0.00323105680792668,-0.025938260416273673,-0.1519061935218921,0.3420864854739541,0.3387146013087456
nfcorpus,embedding_projection,oracle_margin,44,56,12,12,1.0,20,20,0.003426678573908104,-0.013688456556215423,-0.17379355887125736,0.05444772128466102,0.07532339741088188
nfcorpus,embedding_projection,dense_advantage_vs_bm25,44,56,12,12,1.0,20,20,0.004814811647787742,-0.00566314640035781,-0.10331731781875045,0.29721362720225125,0.3070838262984899
nfcorpus,embedding_projection,hybrid_advantage_vs_bm25,44,56,12,12,1.0,20,20,0.005975977849366321,-0.018975349789140283,-0.03165986303674453,0.15722590298006997,0.25459920542145903
nfcorpus,lexical_semantic_interactions,oracle_reward,56,62,6,6,1.0,20,20,0.07460130179861002,-0.011239666318265673,0.06039512904452172,0.3420864854739541,0.3387146013087456
nfcorpus,lexical_semantic_interactions,oracle_margin,56,62,6,6,1.0,20,20,0.0037569290292837065,-0.003572643282492738,0.27285502643021975,0.05444772128466102,0.07532339741088188
nfcorpus,lexical_semantic_interactions,dense_advantage_vs_bm25,56,62,6,6,1.0,20,20,0.18599812904364954,0.10772816446142885,0.3495692845381338,0.29721362720225125,0.3070838262984899
nfcorpus,lexical_semantic_interactions,hybrid_advantage_vs_bm25,56,62,6,6,1.0,20,20,0.061847542961873225,0.04602944800887632,0.4348437980384863,0.15722590298006997,0.25459920542145903
