method,recall_at_5,mrr,ndcg_at_5,reward,cost,retrieval_calls
Vanilla BM25,0.7854166666666667,0.8782638888888888,0.7438413499305736,1.224548611111111,0.0,1.0
Rewrite-all keyword,0.8229166666666666,0.9230555555555556,0.790148104902911,1.2644444444444447,0.02,2.0
Rewrite-all entity,0.8166666666666667,0.9296527777777778,0.7899347334490658,1.2500972222222224,0.03139583333333334,2.0
Train-best fixed trace,0.8229166666666666,0.9230555555555556,0.790148104902911,1.2644444444444447,0.02,2.0
Multi-step FQI,0.8145833333333333,0.888125,0.7692134953660843,1.2225208333333335,0.036125000000000004,2.4375
Oracle two-step,0.9125,0.9588194444444444,0.8538873067747684,1.376263888888889,0.015645833333333335,1.5708333333333333
