dataset,feature_set,policy_model,auto_candidate_models,retrieval_contrast_features,semantic_depth,selected_policy_model,train_size,test_size,feature_width,validation_reward,selective_reward,best_fixed_reward,oracle_reward,selective_recall_at_5,best_fixed_recall_at_5,selective_retrieval_calls
nfcorpus,full,ridge,,False,5,ridge_l2=1.0,20,20,56,0.6456190223981443,0.5935583579853014,0.6277250246519682,0.6374472468741905,0.2007250246519683,0.2193916913186349,1.1
nfcorpus,full,auto,"knn,ridge,extra_trees,random_forest",False,5,extra_trees,20,20,56,0.6576190223981443,0.6178916913186349,0.6277250246519682,0.6374472468741905,0.2110583579853016,0.2193916913186349,1.05
nfcorpus,no_semantic,ridge,,False,5,ridge_l2=1.0,20,20,56,0.644336971116093,0.6193916913186348,0.6277250246519682,0.6374472468741905,0.2110583579853016,0.2193916913186349,1.0
nfcorpus,no_semantic,auto,"knn,ridge,extra_trees,random_forest",False,5,extra_trees,20,20,56,0.6591190223981443,0.6193916913186348,0.6277250246519682,0.6374472468741905,0.2110583579853016,0.2193916913186349,1.0
nfcorpus,full,ridge,,False,8,ridge_l2=1.0,20,20,62,0.6462466819726124,0.5955583579853015,0.6277250246519682,0.6374472468741905,0.2027250246519683,0.2193916913186349,1.1
nfcorpus,full,auto,"knn,ridge,extra_trees,random_forest",False,8,extra_trees,20,20,62,0.6576190223981443,0.6095583579853016,0.6277250246519682,0.6374472468741905,0.2027250246519683,0.2193916913186349,1.05
nfcorpus,no_semantic,ridge,,False,8,ridge_l2=1.0,20,20,62,0.644336971116093,0.6193916913186348,0.6277250246519682,0.6374472468741905,0.2110583579853016,0.2193916913186349,1.0
nfcorpus,no_semantic,auto,"knn,ridge,extra_trees,random_forest",False,8,extra_trees,20,20,62,0.6591190223981443,0.6193916913186348,0.6277250246519682,0.6374472468741905,0.2110583579853016,0.2193916913186349,1.0
