dataset,feature_set,policy_model,selected_policy_model,train_size,test_size,feature_width,validation_reward,selective_reward,best_fixed_reward,oracle_reward,selective_recall_at_5,best_fixed_recall_at_5,selective_retrieval_calls
nfcorpus,full,ridge,ridge_l2=1.0,50,50,56,0.3761953449058324,0.3862403507459049,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.1
nfcorpus,full,ridge_sweep,ridge_l2=10.0,50,50,56,0.3853470535981426,0.38760414856011244,0.40697865836403396,0.48795180032505653,0.13870414856011248,0.1483119916973674,1.02
nfcorpus,full,margin_ridge,margin_ridge_l2=1.0,50,50,56,0.3876800506557298,0.38983201741257145,0.40697865836403396,0.48795180032505653,0.1390320174125715,0.1483119916973674,1.04
nfcorpus,full,extra_trees,extra_trees,50,50,56,0.3605859982042006,0.3979658851160825,0.40697865836403396,0.48795180032505653,0.1485992184494158,0.1483119916973674,1.16
nfcorpus,full,random_forest,random_forest,50,50,56,0.3743834563760445,0.4173370630609446,0.40697865836403396,0.48795180032505653,0.15500372972761128,0.1483119916973674,1.2
nfcorpus,full,mlp,mlp,50,50,56,0.3651317957758497,0.3941831089551787,0.40697865836403396,0.48795180032505653,0.1373497756218454,0.1483119916973674,1.2
nfcorpus,full,auto,knn_k=3,50,50,56,0.3986046293557184,0.382853658364034,0.40697865836403396,0.48795180032505653,0.13728699169736738,0.1483119916973674,1.02
