dataset,split,bucket_feature,bucket,n_queries,bm25_action_rate,dense_action_rate,hybrid_action_rate,keyword_action_rate,mean_reward,mean_retrieval_calls
scifact,test,state_question_length,low,100,0.27,0.17,0.56,0.53,1.0981999999999998,1.56
scifact,test,state_question_length,mid,115,0.391304347826087,0.25217391304347825,0.3565217391304348,0.5304347826086957,1.0783623188405798,1.3565217391304347
scifact,test,state_question_length,high,85,0.4117647058823529,0.27058823529411763,0.3176470588235294,0.38823529411764707,1.0978235294117646,1.3176470588235294
scifact,test,state_bm25_top1,low,300,0.3566666666666667,0.23,0.41333333333333333,0.49,1.090488888888889,1.4133333333333333
scifact,test,state_bm25_gap,low,100,0.01,0.6,0.39,0.32,0.8378833333333334,1.39
scifact,test,state_bm25_gap,mid,100,0.13,0.07,0.8,0.6,1.0496666666666667,1.8
scifact,test,state_bm25_gap,high,100,0.93,0.02,0.05,0.55,1.3839166666666665,1.05
scifact,test,state_bm25_entropy,low,101,0.9306930693069307,0.019801980198019802,0.04950495049504951,0.5346534653465347,1.3817656765676567,1.0495049504950495
scifact,test,state_bm25_entropy,mid,99,0.12121212121212122,0.09090909090909091,0.7878787878787878,0.6161616161616161,1.103804713804714,1.7878787878787878
scifact,test,state_bm25_entropy,high,100,0.01,0.58,0.41,0.32,0.7831166666666667,1.41
scifact,test,predicted_action_margin,low,100,0.48,0.07,0.45,0.53,1.1984166666666667,1.45
scifact,test,predicted_action_margin,mid,100,0.48,0.15,0.37,0.58,1.1837333333333333,1.37
scifact,test,predicted_action_margin,high,100,0.11,0.47,0.42,0.36,0.8893166666666668,1.42
scifact,test,oracle_reward_margin,low,262,0.3893129770992366,0.20610687022900764,0.40458015267175573,0.5076335877862596,1.1376717557251907,1.4045801526717556
scifact,test,oracle_reward_margin,high,38,0.13157894736842105,0.39473684210526316,0.47368421052631576,0.3684210526315789,0.7651754385964913,1.4736842105263157
scifact,test,action_reward_std,low,156,0.4935897435897436,0.16666666666666666,0.33974358974358976,0.5384615384615384,1.0715384615384618,1.3397435897435896
scifact,test,action_reward_std,high,144,0.20833333333333334,0.2986111111111111,0.4930555555555556,0.4375,1.1110185185185186,1.4930555555555556
scifact,test,bm25_dense_doc_overlap,low,129,0.26356589147286824,0.3023255813953488,0.43410852713178294,0.49612403100775193,0.9418863049095607,1.434108527131783
scifact,test,bm25_dense_doc_overlap,mid,93,0.43010752688172044,0.22580645161290322,0.34408602150537637,0.4946236559139785,1.1475627240143367,1.3440860215053763
scifact,test,bm25_dense_doc_overlap,high,78,0.4230769230769231,0.11538461538461539,0.46153846153846156,0.47435897435897434,1.268205128205128,1.4615384615384615
scifact,test,dense_new_doc_rate,low,171,0.4269005847953216,0.17543859649122806,0.39766081871345027,0.4853801169590643,1.2025925925925924,1.3976608187134503
scifact,test,dense_new_doc_rate,mid,93,0.3225806451612903,0.23655913978494625,0.44086021505376344,0.5268817204301075,1.07584229390681,1.4408602150537635
scifact,test,dense_new_doc_rate,high,36,0.1111111111111111,0.4722222222222222,0.4166666666666667,0.4166666666666667,0.5958333333333333,1.4166666666666667
scifact,test,hybrid_new_doc_rate,low,118,0.4406779661016949,0.1440677966101695,0.4152542372881356,0.4745762711864407,1.2357768361581922,1.4152542372881356
scifact,test,hybrid_new_doc_rate,mid,160,0.33125,0.25625,0.4125,0.50625,1.0426770833333332,1.4125
scifact,test,hybrid_new_doc_rate,high,22,0.09090909090909091,0.5,0.4090909090909091,0.45454545454545453,0.658939393939394,1.4090909090909092
