dataset,split,confidence_gate_margin,n_queries,fallback_count,fallback_rate,selective_recall_at_5,train_best_recall_at_5,gated_recall_at_5,selective_mrr,train_best_mrr,gated_mrr,selective_ndcg_at_5,train_best_ndcg_at_5,gated_ndcg_at_5,selective_reward,train_best_reward,gated_reward,gated_reward_delta_vs_selective,gated_reward_delta_vs_train_best,selective_rewrite_cost,train_best_rewrite_cost,gated_rewrite_cost,selective_retrieval_calls,train_best_retrieval_calls,gated_retrieval_calls,gated_call_delta_vs_selective,gated_call_delta_vs_train_best
nfcorpus_main,test,0.0,300,0,0.0,0.13567792920950036,0.12220833726570281,0.13567792920950036,0.5428333333333333,0.509888888888889,0.5428333333333333,0.3722254638103688,0.3579017941230752,0.3722254638103688,0.40709459587616703,0.37715278171014727,0.40709459587616703,0.0,0.029941814166,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
nfcorpus_main,test,0.001,300,54,0.18,0.13567792920950036,0.12220833726570281,0.13387717819853526,0.5428333333333333,0.509888888888889,0.5323888888888889,0.3722254638103688,0.3579017941230752,0.3661751482212796,0.40709459587616703,0.37715278171014727,0.4000716226429797,-0.007022973233,0.022918840933,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
nfcorpus_main,test,0.005,300,189,0.63,0.13567792920950036,0.12220833726570281,0.13204103300977238,0.5428333333333333,0.509888888888889,0.5271111111111112,0.3722254638103688,0.3579017941230752,0.36916675981177755,0.40709459587616703,0.37715278171014727,0.3955965885653279,-0.011498007311,0.018443806855,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
nfcorpus_main,test,0.01,300,268,0.8933333333333333,0.13567792920950036,0.12220833726570281,0.12173662824716718,0.5428333333333333,0.509888888888889,0.5115555555555557,0.3722254638103688,0.3579017941230752,0.35707646057187026,0.40709459587616703,0.37715278171014727,0.3775144060249449,-0.029580189851,0.000361624315,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
nfcorpus_main,test,0.02,300,283,0.9433333333333334,0.13567792920950036,0.12220833726570281,0.12251515544752101,0.5428333333333333,0.509888888888889,0.5072222222222222,0.3722254638103688,0.3579017941230752,0.3564953228147558,0.40709459587616703,0.37715278171014727,0.37612626655863207,-0.030968329318,-0.001026515152,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
nfcorpus_main,test,0.05,300,300,1.0,0.13567792920950036,0.12220833726570281,0.12220833726570281,0.5428333333333333,0.509888888888889,0.509888888888889,0.3722254638103688,0.3579017941230752,0.3579017941230752,0.40709459587616703,0.37715278171014727,0.37715278171014727,-0.029941814166,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
nfcorpus_main,test,0.1,300,300,1.0,0.13567792920950036,0.12220833726570281,0.12220833726570281,0.5428333333333333,0.509888888888889,0.509888888888889,0.3722254638103688,0.3579017941230752,0.3579017941230752,0.40709459587616703,0.37715278171014727,0.37715278171014727,-0.029941814166,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
nfcorpus_main,train,0.0,600,0,0.0,0.11451739658575273,0.10424571028614665,0.11451739658575273,0.5142777777777778,0.4849166666666667,0.5142777777777778,0.34836537605666373,0.3358942413519661,0.34836537605666373,0.37160628547464164,0.34670404361948,0.37160628547464164,0.0,0.024902241855,4.9999999999999996e-05,0.0,4.9999999999999996e-05,1.0016666666666667,1.0,1.0016666666666667,0.0,0.001666666667
nfcorpus_main,train,0.001,600,97,0.16166666666666665,0.11451739658575273,0.10424571028614665,0.11460808350016924,0.5142777777777778,0.4849166666666667,0.5140555555555556,0.34836537605666373,0.3358942413519661,0.3473692549442167,0.37160628547464164,0.34670404361948,0.37158586127794707,-2.0424197e-05,0.024881817658,4.9999999999999996e-05,0.0,4.9999999999999996e-05,1.0016666666666667,1.0,1.0016666666666667,0.0,0.001666666667
nfcorpus_main,train,0.005,600,384,0.64,0.11451739658575273,0.10424571028614665,0.11311548682171312,0.5142777777777778,0.4849166666666667,0.50525,0.34836537605666373,0.3358942413519661,0.3463711398569322,0.37160628547464164,0.34670404361948,0.3656904868217131,-0.005915798653,0.018986443202,4.9999999999999996e-05,0.0,4.9999999999999996e-05,1.0016666666666667,1.0,1.0016666666666667,0.0,0.001666666667
