dataset,comparison,metric,n_queries,mean_policy,mean_baseline,mean_delta,ci_lower,ci_upper,prob_delta_gt_0,n_bootstrap,seed
nfcorpus,Selective retrieval policy - Train-best retrieval action,reward,300,0.4070945958761671,0.37715278171014727,0.02994181416601978,0.005428128544577918,0.05479942194327983,0.995,5000,42
nfcorpus,Selective retrieval policy - Train-best retrieval action,recall_at_5,300,0.13567792920950036,0.12220833726570281,0.013469591943797555,0.0006123961750257099,0.027737151560530676,0.9814,5000,42
nfcorpus,Selective retrieval policy - Train-best retrieval action,mrr,300,0.5428333333333334,0.509888888888889,0.03294444444444444,0.0030541666666666738,0.06394444444444444,0.9866,5000,42
nfcorpus,Selective retrieval policy - Train-best retrieval action,ndcg_at_5,300,0.3722254638103688,0.35790179412307516,0.01432366968729364,-0.007204432535234009,0.03584833193902006,0.9078,5000,42
