method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
LinUCB retrieval policy,0.7416111111111111,0.6416666666666667,0.6624734140396007,1.0572444444444444,0.0052,1.1733333333333333
Epsilon-greedy retrieval policy,0.7624444444444444,0.6472222222222221,0.6713310392952838,1.0563555555555555,0.0297,1.99
Linear Thompson retrieval policy,0.7393888888888889,0.6475,0.6644818596369807,1.0621388888888887,0.001,1.0333333333333334
Train-best retrieval action,0.762611111111111,0.6483333333333333,0.6733601718339604,1.0567777777777778,0.03,2.0
Oracle retrieval action,0.8385,0.7358888888888888,0.7576938176937511,1.2062444444444445,0.00019999999999999998,1.0066666666666666
