dataset,group,target,semantic_depth,baseline_semantic_depth,n_runs,active_columns_delta_mean,width_delta_mean,train_r2_delta_across_seed_mean,train_r2_delta_across_seed_std,test_r2_delta_across_seed_mean,test_r2_delta_across_seed_std,test_r2_delta_positive_rate,test_corr_delta_across_seed_mean,test_corr_delta_across_seed_std,test_corr_delta_positive_rate
nfcorpus_repeated_semantic_depth,semantic_rank_profile,hybrid_advantage_vs_bm25,8,5,3,6.0,6.0,0.01973445177366667,0.013245619504958383,-0.008360470922666665,0.005235257132525108,0.0,-0.051499278531,0.011723164050930395,0.0
nfcorpus_repeated_semantic_depth,semantic_rank_profile,oracle_margin,8,5,3,6.0,6.0,0.037805564056333334,0.03115591480414003,-0.044531086416333326,0.06623081829950453,0.3333333333333333,-0.06217956330733334,0.125190877645643,0.6666666666666666
nfcorpus_repeated_semantic_depth,semantic_rank_profile,oracle_reward,8,5,3,6.0,6.0,0.012184288486999999,0.00680508325779549,0.0021480036670000003,0.005164505285425114,0.6666666666666666,0.030592288582333333,0.033375200510191376,0.6666666666666666
nfcorpus_repeated_semantic_depth,semantic_score_shape,dense_advantage_vs_bm25,8,5,3,0.0,0.0,-0.002942397020666667,0.0012352468206328713,-0.002780527675666667,0.0017260172919440122,0.0,-0.016902612758666665,0.022009282987557503,0.3333333333333333
nfcorpus_repeated_semantic_depth,semantic_score_shape,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,-0.0030904149213333335,0.0012692295522031324,-0.0020179238826666668,0.0030313679791059947,0.3333333333333333,-0.0009522409359999998,0.032904411279167725,0.3333333333333333
nfcorpus_repeated_semantic_depth,semantic_score_shape,oracle_margin,8,5,3,0.0,0.0,-0.0007788233506666667,0.00646698823276515,-0.0017944548273333336,0.0035093319977211896,0.3333333333333333,-0.048092479427333336,0.0591680196050603,0.3333333333333333
nfcorpus_repeated_semantic_depth,semantic_score_shape,oracle_reward,8,5,3,0.0,0.0,0.0016682453613333333,0.0015639076974241035,-0.00036989124966666664,0.003921363831744347,0.3333333333333333,-0.059238486884,0.04230398217050273,0.0
nfcorpus_repeated_semantic_depth,semantic_summary,dense_advantage_vs_bm25,8,5,3,0.0,0.0,-0.015806895964666667,0.008313405160323405,-0.0034227735780000003,0.0025681322495089615,0.3333333333333333,-0.002013172832666666,0.012157528915847066,0.6666666666666666
nfcorpus_repeated_semantic_depth,semantic_summary,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,-0.008511122653333335,0.006608612493000761,-0.0006269256153333333,0.0030931982023247985,0.3333333333333333,-0.0038997697403333315,0.03287930872052474,0.3333333333333333
nfcorpus_repeated_semantic_depth,semantic_summary,oracle_margin,8,5,3,0.0,0.0,-0.012700699303666666,0.041767626643329336,-0.0021855416413333333,0.005630125345504013,0.3333333333333333,-0.0011758516786666655,0.06718503869198156,0.6666666666666666
nfcorpus_repeated_semantic_depth,semantic_summary,oracle_reward,8,5,3,0.0,0.0,0.0012329986806666668,0.004437166150963237,-0.0025894798493333333,0.0039030936053355532,0.3333333333333333,0.016315445244333333,0.017915766903535888,0.6666666666666666
nfcorpus_repeated_semantic_depth,wh_word,dense_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,wh_word,hybrid_advantage_vs_bm25,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,wh_word,oracle_margin,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nfcorpus_repeated_semantic_depth,wh_word,oracle_reward,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
