seed,grid_csv,dataset,n_configurations,validation_selected_config,validation_selected_validation_reward,validation_selected_reward,validation_selected_calls,heldout_best_config,heldout_best_validation_reward,heldout_best_reward,heldout_best_calls,selection_reward_gap,heldout_rank_of_validation_selected,validation_heldout_spearman,validation_top2_margin,heldout_top2_margin,top1_validation_heldout_overlap,top2_validation_heldout_overlap,top3_validation_heldout_overlap,validation_selected_reward_gap_vs_best_fixed,validation_selected_validation_gap_vs_best_fixed,heldout_best_reward_gap_vs_best_fixed,validation_selected_call_gap_vs_best_fixed,heldout_best_call_gap_vs_best_fixed,validation_selected_dominated_by_best_fixed,heldout_best_dominated_by_best_fixed,guardrail_decision,guardrail_reward,guardrail_calls,guardrail_reward_delta_vs_validation_selected,guardrail_call_delta_vs_validation_selected,best_fixed_reward,best_fixed_calls,oracle_reward
41,outputs\codex_vertex_repeated_10x10\seed_41\results\nfcorpus_policy_model_sweep.csv,nfcorpus_repeated_selection_seed_41,2,depth=3/full/ridge/ridge_l2=1.0,0.3450097125097125,0.1992590059279525,1.0,depth=3/full/ridge/ridge_l2=1.0,0.3450097125097125,0.1992590059279525,1.0,0.0,1,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,fallback_train_best_fixed,0.1992590059279525,1.0,0.0,0.0,0.1992590059279525,1.0,0.2075923392612859
42,outputs\codex_vertex_repeated_10x10\seed_42\results\nfcorpus_policy_model_sweep.csv,nfcorpus_repeated_selection_seed_42,2,depth=3/no_semantic/ridge/ridge_l2=1.0,0.3870117904304992,0.2125489095542477,1.0,depth=3/no_semantic/ridge/ridge_l2=1.0,0.3870117904304992,0.2125489095542477,1.0,0.0,1,,0.05,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,fallback_train_best_fixed,0.2125489095542477,1.0,0.0,0.0,0.2125489095542477,1.0,0.2125489095542477
43,outputs\codex_vertex_repeated_10x10\seed_43\results\nfcorpus_policy_model_sweep.csv,nfcorpus_repeated_selection_seed_43,2,depth=3/full/ridge/ridge_l2=1.0,0.4293820461124623,0.3973285206740087,1.0,depth=3/full/ridge/ridge_l2=1.0,0.4293820461124623,0.3973285206740087,1.0,0.0,1,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,fallback_train_best_fixed,0.3973285206740087,1.0,0.0,0.0,0.3973285206740087,1.0,0.426678402470699
