method,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls
Dense original,0.8333333333333334,0.8394444444444444,0.7580712628009916,1.2530555555555556,0.0,1.0
Dense keyword,0.8125,0.8491666666666667,0.7467986045511665,1.2370833333333333,0.0,1.0
Hybrid original,0.8625,0.87,0.7900299449683749,1.2974999999999999,0.0,2.0
Hybrid keyword,0.8875,0.8870833333333332,0.8134680380391506,1.331041666666667,0.0,2.0
