dataset,split,behavior_policy,target_method,estimator,seed_count,true_value,mean_estimated_value,std_estimated_value,mean_absolute_error,std_absolute_error,ci95_absolute_error_low,ci95_absolute_error_high,mean_match_rate,mean_effective_sample_size
nfcorpus,test,uniform,Train-best retrieval action,direct_method,10,0.3771527817101473,0.3303720480825939,0.0,0.04678073362755336,0.0,0.04678073362755336,0.04678073362755336,0.17,51.0
nfcorpus,test,uniform,Train-best retrieval action,ips,10,0.3771527817101473,0.3604060145495337,0.08266506395075479,0.06715631109791767,0.04619578634266749,0.03852386608143321,0.09578875611440213,0.17,51.0
nfcorpus,test,uniform,Train-best retrieval action,snips,10,0.3771527817101473,0.3505257785255591,0.051887867612921426,0.04558834736094289,0.03421850714914591,0.024379496899419897,0.06679719782246588,0.17,51.0
nfcorpus,test,uniform,Train-best retrieval action,doubly_robust,10,0.3771527817101473,0.35164040035981214,0.04241511999026098,0.042286464949649584,0.023139063834813046,0.02794472459980987,0.056628205299489295,0.17,51.0
nfcorpus,test,uniform,Heuristic retrieval router,direct_method,10,0.3896196854804356,0.3484203114638012,5.851389114294502e-17,0.04119937401663443,0.0,0.04119937401663443,0.04119937401663443,0.16033333333333333,48.1
nfcorpus,test,uniform,Heuristic retrieval router,ips,10,0.3896196854804356,0.3467876038568368,0.05458364291582968,0.05582230370671067,0.039439042861567505,0.031377731687517285,0.08026687572590406,0.16033333333333333,48.1
nfcorpus,test,uniform,Heuristic retrieval router,snips,10,0.3896196854804356,0.3609074358785441,0.04869258682092978,0.046816066353711196,0.029183717274242613,0.028727810987017738,0.06490432172040465,0.16033333333333333,48.1
nfcorpus,test,uniform,Heuristic retrieval router,doubly_robust,10,0.3896196854804356,0.36258722294949813,0.037337711226594725,0.03747208796792091,0.025414144475675374,0.021720238027687817,0.05322393790815401,0.16033333333333333,48.1
nfcorpus,test,uniform,Selective retrieval policy,direct_method,10,0.40709459587616703,0.35494418796385163,0.0,0.0521504079123154,0.0,0.0521504079123154,0.0521504079123154,0.1716666666666667,51.5
nfcorpus,test,uniform,Selective retrieval policy,ips,10,0.40709459587616703,0.38757453280175924,0.06148661214195176,0.051694749938315,0.03513827948531451,0.029915818676615066,0.07347368120001493,0.1716666666666667,51.5
nfcorpus,test,uniform,Selective retrieval policy,snips,10,0.40709459587616703,0.37675633118798063,0.045333211121762654,0.04415378032847952,0.030192788221768498,0.025440096308868395,0.06286746434809064,0.1716666666666667,51.5
nfcorpus,test,uniform,Selective retrieval policy,doubly_robust,10,0.40709459587616703,0.3838732905359738,0.040318975920260666,0.03841852194683022,0.024182271524039012,0.023430194772361697,0.05340684912129875,0.1716666666666667,51.5
nfcorpus,test,uniform,Confidence-gated retrieval policy,direct_method,10,0.40709459587616703,0.35494418796385163,0.0,0.0521504079123154,0.0,0.0521504079123154,0.0521504079123154,0.1716666666666667,51.5
nfcorpus,test,uniform,Confidence-gated retrieval policy,ips,10,0.40709459587616703,0.38757453280175924,0.06148661214195176,0.051694749938315,0.03513827948531451,0.029915818676615066,0.07347368120001493,0.1716666666666667,51.5
nfcorpus,test,uniform,Confidence-gated retrieval policy,snips,10,0.40709459587616703,0.37675633118798063,0.045333211121762654,0.04415378032847952,0.030192788221768498,0.025440096308868395,0.06286746434809064,0.1716666666666667,51.5
nfcorpus,test,uniform,Confidence-gated retrieval policy,doubly_robust,10,0.40709459587616703,0.3838732905359738,0.040318975920260666,0.03841852194683022,0.024182271524039012,0.023430194772361697,0.05340684912129875,0.1716666666666667,51.5
nfcorpus,test,train_best_eps_0.2,Train-best retrieval action,direct_method,10,0.3771527817101473,0.3303720480825939,0.0,0.04678073362755336,0.0,0.04678073362755336,0.04678073362755336,0.8396666666666667,251.90000000000003
nfcorpus,test,train_best_eps_0.2,Train-best retrieval action,ips,10,0.3771527817101473,0.37772482335249286,0.013091619642427818,0.00976112381449919,0.008117138788075781,0.004730069070311608,0.014792178558686774,0.8396666666666667,251.90000000000003
nfcorpus,test,train_best_eps_0.2,Train-best retrieval action,snips,10,0.3771527817101473,0.37490100434705065,0.010378720377276518,0.007979648757471158,0.006527017355497469,0.003934161487990254,0.012025136026952061,0.8396666666666667,251.90000000000003
nfcorpus,test,train_best_eps_0.2,Train-best retrieval action,doubly_robust,10,0.3771527817101473,0.37476193938202795,0.009336679378104158,0.006880891416698093,0.0063966730917200156,0.0029161923588981982,0.010845590474497988,0.8396666666666667,251.90000000000003
nfcorpus,test,train_best_eps_0.2,Heuristic retrieval router,direct_method,10,0.3896196854804356,0.3484203114638012,5.851389114294502e-17,0.04119937401663443,0.0,0.04119937401663443,0.04119937401663443,0.4413333333333333,32.30420577623186
nfcorpus,test,train_best_eps_0.2,Heuristic retrieval router,ips,10,0.3896196854804356,0.312214040864469,0.09429404022990621,0.08252005906908273,0.08934516768776693,0.027143350415770207,0.13789676772239526,0.4413333333333333,32.30420577623186
nfcorpus,test,train_best_eps_0.2,Heuristic retrieval router,snips,10,0.3896196854804356,0.3581995748071145,0.07057388333468914,0.06359084666520162,0.039805545163275946,0.038919114165954026,0.08826257916444921,0.4413333333333333,32.30420577623186
nfcorpus,test,train_best_eps_0.2,Heuristic retrieval router,doubly_robust,10,0.3896196854804356,0.37530211676195346,0.05909405117345322,0.05396620749871371,0.02199841958706907,0.040331445778150704,0.06760096921927672,0.4413333333333333,32.30420577623186
nfcorpus,test,train_best_eps_0.2,Selective retrieval policy,direct_method,10,0.40709459587616703,0.35494418796385163,0.0,0.0521504079123154,0.0,0.0521504079123154,0.0521504079123154,0.319,15.011891253566407
nfcorpus,test,train_best_eps_0.2,Selective retrieval policy,ips,10,0.40709459587616703,0.3528400174631516,0.07637101346712244,0.0660546629476066,0.06523137716235775,0.025623836506068434,0.10648548938914477,0.319,15.011891253566407
nfcorpus,test,train_best_eps_0.2,Selective retrieval policy,snips,10,0.40709459587616703,0.4078505178414608,0.12015736715596433,0.09519337290216949,0.06610435157296551,0.054221471315224846,0.13616527448911414,0.319,15.011891253566407
nfcorpus,test,train_best_eps_0.2,Selective retrieval policy,doubly_robust,10,0.40709459587616703,0.3909530677301781,0.09306558548071811,0.06794394447098125,0.06181740335135706,0.02962912091996884,0.10625876802199366,0.319,15.011891253566407
nfcorpus,test,train_best_eps_0.2,Confidence-gated retrieval policy,direct_method,10,0.40709459587616703,0.35494418796385163,0.0,0.0521504079123154,0.0,0.0521504079123154,0.0521504079123154,0.319,15.011891253566407
nfcorpus,test,train_best_eps_0.2,Confidence-gated retrieval policy,ips,10,0.40709459587616703,0.3528400174631516,0.07637101346712244,0.0660546629476066,0.06523137716235775,0.025623836506068434,0.10648548938914477,0.319,15.011891253566407
nfcorpus,test,train_best_eps_0.2,Confidence-gated retrieval policy,snips,10,0.40709459587616703,0.4078505178414608,0.12015736715596433,0.09519337290216949,0.06610435157296551,0.054221471315224846,0.13616527448911414,0.319,15.011891253566407
nfcorpus,test,train_best_eps_0.2,Confidence-gated retrieval policy,doubly_robust,10,0.40709459587616703,0.3909530677301781,0.09306558548071811,0.06794394447098125,0.06181740335135706,0.02962912091996884,0.10625876802199366,0.319,15.011891253566407
nfcorpus,test,heuristic_eps_0.2,Train-best retrieval action,direct_method,10,0.3771527817101473,0.3303720480825939,0.0,0.04678073362755336,0.0,0.04678073362755336,0.04678073362755336,0.4543333333333333,21.481300703192776
nfcorpus,test,heuristic_eps_0.2,Train-best retrieval action,ips,10,0.3771527817101473,0.5490824390134216,0.13540851756225666,0.1847236739848001,0.11517566918767443,0.11333705463404334,0.2561102933355569,0.4543333333333333,21.481300703192776
nfcorpus,test,heuristic_eps_0.2,Train-best retrieval action,snips,10,0.3771527817101473,0.44167004895280354,0.05865911845218095,0.07338054002744679,0.04563839852055503,0.045093567562313884,0.10166751249257969,0.4543333333333333,21.481300703192776
nfcorpus,test,heuristic_eps_0.2,Train-best retrieval action,doubly_robust,10,0.3771527817101473,0.4609607908086484,0.07165717928341012,0.09685369434313744,0.050159971753822606,0.06576422175322658,0.1279431669330483,0.4543333333333333,21.481300703192776
nfcorpus,test,heuristic_eps_0.2,Heuristic retrieval router,direct_method,10,0.3896196854804356,0.3484203114638012,5.851389114294502e-17,0.04119937401663443,0.0,0.04119937401663443,0.04119937401663443,0.8296666666666667,248.90000000000003
nfcorpus,test,heuristic_eps_0.2,Heuristic retrieval router,ips,10,0.3896196854804356,0.3812812004413502,0.012456959387016173,0.012699864270287325,0.007295511079205089,0.00817805965605222,0.01722166888452243,0.8296666666666667,248.90000000000003
nfcorpus,test,heuristic_eps_0.2,Heuristic retrieval router,snips,10,0.3896196854804356,0.38299497967298224,0.01128112423898705,0.011434340294005918,0.0055457668302643336,0.007997038401059767,0.01487164218695207,0.8296666666666667,248.90000000000003
nfcorpus,test,heuristic_eps_0.2,Heuristic retrieval router,doubly_robust,10,0.3896196854804356,0.3833417377322251,0.010878630927419178,0.011026107398598068,0.005201253410193375,0.0078023371356679624,0.014249877661528174,0.8296666666666667,248.90000000000003
nfcorpus,test,heuristic_eps_0.2,Selective retrieval policy,direct_method,10,0.40709459587616703,0.35494418796385163,0.0,0.0521504079123154,0.0,0.0521504079123154,0.0521504079123154,0.4786666666666667,22.24956523404878
nfcorpus,test,heuristic_eps_0.2,Selective retrieval policy,ips,10,0.40709459587616703,0.4210095947397362,0.10014602869252304,0.07537979284198262,0.0626969641394063,0.03651981186653181,0.11423977381743344,0.4786666666666667,22.24956523404878
nfcorpus,test,heuristic_eps_0.2,Selective retrieval policy,snips,10,0.40709459587616703,0.3992307679079198,0.06504134912320199,0.05609580067810873,0.0283321631677127,0.03853534401480609,0.07365625734141137,0.4786666666666667,22.24956523404878
nfcorpus,test,heuristic_eps_0.2,Selective retrieval policy,doubly_robust,10,0.40709459587616703,0.40188791161170495,0.0569416954530938,0.04521477281823745,0.03163779197574683,0.025605466192973565,0.06482407944350134,0.4786666666666667,22.24956523404878
nfcorpus,test,heuristic_eps_0.2,Confidence-gated retrieval policy,direct_method,10,0.40709459587616703,0.35494418796385163,0.0,0.0521504079123154,0.0,0.0521504079123154,0.0521504079123154,0.4786666666666667,22.24956523404878
nfcorpus,test,heuristic_eps_0.2,Confidence-gated retrieval policy,ips,10,0.40709459587616703,0.4210095947397362,0.10014602869252304,0.07537979284198262,0.0626969641394063,0.03651981186653181,0.11423977381743344,0.4786666666666667,22.24956523404878
nfcorpus,test,heuristic_eps_0.2,Confidence-gated retrieval policy,snips,10,0.40709459587616703,0.3992307679079198,0.06504134912320199,0.05609580067810873,0.0283321631677127,0.03853534401480609,0.07365625734141137,0.4786666666666667,22.24956523404878
