dataset,feature_set,retrieval_contrast_features,semantic_depth,train_size,test_size,selected_policy_model,validation_reward,best_fixed_validation_reward,validation_reward_gap_vs_best_fixed,selective_reward,best_fixed_reward,oracle_reward,selective_recall_at_5,best_fixed_recall_at_5,best_fixed_retrieval_calls,selective_retrieval_calls
nfcorpus,full,False,5,50,50,ridge_l2=1.0,0.3761953449058324,0.3794989861549778,-0.003303641249,0.3862403507459049,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.0,1.1
nfcorpus,no_semantic,False,5,50,50,ridge_l2=1.0,0.3945938484699375,0.3794989861549778,0.015094862315,0.42903748189344576,0.40697865836403396,0.48795180032505653,0.15203748189344585,0.1483119916973674,1.0,1.0
nfcorpus,no_score_shape,False,5,50,50,ridge_l2=1.0,0.3761953449058324,0.3794989861549778,-0.003303641249,0.3862403507459049,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.0,1.1
nfcorpus,score_shape_only,False,5,50,50,ridge_l2=1.0,0.372127191283183,0.3794989861549778,-0.007371794872,0.40697865836403396,0.40697865836403396,0.48795180032505653,0.1483119916973674,0.1483119916973674,1.0,1.0
nfcorpus,no_profile,False,5,50,50,ridge_l2=1.0,0.3767953449058324,0.3794989861549778,-0.002703641249,0.39350701741257155,0.40697865836403396,0.48795180032505653,0.14840701741257153,0.1483119916973674,1.0,1.08
nfcorpus,profile_only,False,5,50,50,ridge_l2=1.0,0.3758878750438667,0.3794989861549778,-0.003611111111,0.40697865836403396,0.40697865836403396,0.48795180032505653,0.1483119916973674,0.1483119916973674,1.0,1.0
nfcorpus,no_rank_agreement,False,5,50,50,ridge_l2=1.0,0.39159384846993744,0.3794989861549778,0.012094862315,0.4217708152267791,0.40697865836403396,0.48795180032505653,0.15203748189344585,0.1483119916973674,1.0,1.02
nfcorpus,rank_agreement_only,False,5,50,50,ridge_l2=1.0,0.35030243960991386,0.3794989861549778,-0.029196546545,0.35460652721649294,0.40697865836403396,0.48795180032505653,0.12930652721649308,0.1483119916973674,1.0,1.14
